PROPAUDIT	CONSAUDIT	Proposed 2014	Considered 2015	1n submitted	2nd n submitted	unr?	2ndN	Adopt	EMERGEXP	ANALYST	Agency	Title	Part	Year	Page	Type	1stNPubl (E/P/R Adopted)	"Year1stNProp (P,E,R,X)"	1stNExp	2ndNFiled	2ndNExp	JCAR Overall Action	"Adopted (AdoptPubl if E, R or P)"	Adoption Page	Check	EXP	First Mtg Considered	Tab	JCAR Response: 1st meeting	2nd Mtg Considered	Tab: 2	JCAR Response: 2nd meeting	3rd Mtg Considered	Tab: 3	JCAR Response: 3rd Mtg	4th Mtg Considered	Tab: 4	JCAR Response: 4th Mtg	JCAR Action: Overall	Date of JCAR Action	Agency Monitoring	Active monitoring needed?	Rollcall Yes	Rollcall No	Rollcall Present	AR Deadline	"Agency Response (A,WD,D,NR)"	AR Date	AR Mtg	AR Tab	DTAR/NFA	FTR	NFA	SWM	WP/WS	Outcome	General	Emergency	Peremptory	Exempt	Required	Proposed	0	PA Addressed	PA Addressed 2	PA Addressed 3	PA Addressed 4	PA Addressed 5		APPROP	FTR	NFA	SWM	WS	CORRESP PROP	Year Considered	Year Action Taken	AR YEAR	AR MTG YEAR	#VALUE!	COVID-19	PROPOSEDAUDIT	CONSIDEREDAUDIT	AUDITSTART	AUDITFINISH	DCFS	HFS	DNR	CMS	IEMA	DOT	IHDA	JCE	Check2	Yearcheck	PageDB	PageTest	TypeDB	TypeShortDB	TypeTest	AgencyDB	AgencyTest	TitleDB	PartDB	TitleTest	PartTest	RegDateDB	RegDateTest	From1stNtoAdopt
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	3708	3	301880	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DNR	17	3730	3	301884	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0					#REF!						FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		PCB	35	900	3	301889	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		PCB	35	903	3	301909	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DPH	77	591	3	301922	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2700	3	301933	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2720	3	301941	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2730	3	301954	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2733	3	301958	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2735	3	301965	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2736	3	301974	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2740	3	301979	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2741	3	301986	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2755	3	301994	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2763	3	302002	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2764	3	302013	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2765	3	302024	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2767	3	302032	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ISAC	23	2771	3	302036	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	390	3	302042	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	391	3	302065	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	392	3	302071	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	393	3	302076	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	395	3	302081	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	396	3	302088	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	397	3	302092	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DOT	92	542	3	302097	G	2/7/03	2003	3/24/03		NA	NA			FALSE	2/6/04													NA							NA																														NA	NA	NA	NA	0		0	0								#REF!			FALSE	NA														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	300	3	302181	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	330	3	302202	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	340	3	302222	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	350	3	302238	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	390	3	302258	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	E				#REF!	#REF!	#REF!		DPH	77	591	3	302277	E	2/7/03	2003	NA	NA	NA	NA	REGDATE		#VALUE!	7/6/03													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	2003														
NA	NA	na	G				#REF!	#REF!	#REF!		DOA	8	125	3	302358	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DFPR	68	1440	3	302370	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ICC	83	711	3	302378	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		ICC	83	712	3	302485	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DHS	89	50	3	302522	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
NA	NA	na	G				#REF!	#REF!	#REF!		DHS	89	121	3	302531	G	2/14/03	2003	3/31/03		NA	NA			FALSE	2/13/04													NA							NA																														NA	NA	NA	NA	0		0	0											FALSE	NA														
